,pol_filtered,pol
504,2126.816,3827.393
505,3767.246,4537.476
506,2938.543,2946.931
507,4732.055,5449.542
508,5653.19,1502.431
509,2892.469,12585.58
510,4269.798,7257.623
511,23524.72,12585.58
512,2169.952,2670.318
513,3961.158,2368.208
514,7605.706,6462.004
515,3331.087,2886.508
516,8173.208,7003.181
517,1571.927,7143.58
518,3508.385,3865.464
519,5474.806,1606.346
520,3020.197,12585.58
521,2654.578,3660.675
522,3185.25,10203.06
523,2577.21,5674.867
524,5131.607,9442.536
525,2919.217,10218.88
526,2460.109,7303.88
527,3127.738,1952.948
528,9211.697,6433.65
529,5958.561,5921.443
530,15883.41,6784.143
531,3858.35,7931.135
532,5578.091,6017.241
533,17891.89,5028.735
534,6736.665,5618.37
535,4019.759,3685.811
536,1957.789,21634.46
537,2686.029,4538.899
538,5015.279,3683.983
539,2461.23,3622.101
540,2161.461,5930.866
541,3172.995,8406.163
542,5459.211,6314.532
543,6432.601,5483.799
544,22411.59,2524.055
545,12396.64,4095.86
546,3438.48,6614.389
547,2447.817,2714.599
548,4123.21,3879.14
549,38574.65,3706.651
550,2561.601,2925.624
551,2647.407,12585.58
552,7346.417,10956.71
553,2531.927,8537.426
554,1740.451,4189.437
555,3059.438,7267.385
556,7608.101,73751.47
557,2927.404,6299.789
558,2659.973,2525.241
559,4583.774,2347.305
560,3074.152,6697.046
561,3000.784,5312.207
562,3247.175,6864.925
563,4313.397,3256.858
564,4061.771,6017.588
565,3365.496,3530.885
566,6013.211,3767.378
567,6319.902,7599.372
568,3548.01,2443.504
569,4162.03,11907.06
570,12178.75,3512.661
571,2144.971,6045.54
572,12585.58,1740.612
573,12976.78,12585.58
574,2782.672,8157.62
575,3529.264,3720.233
576,3886.587,7798.794
577,6667.731,7399.624
578,2722.192,10554.01
579,7500.796,4707.017
580,3937.465,3535.421
581,9935.123,3031.532
582,3383.454,4123.636
583,6937.676,4725.671
584,5653.199,3235.415
585,2833.7,2209.254
586,5139.522,14371.32
587,18374.22,5771.647
588,4435.862,1596.429
589,5409.978,4682.92
590,2406.818,3600.455
591,5288.171,3559.244
592,2639.926,51318.77
593,3740.961,5295.481
594,2576.695,8790.039
595,3077.432,8828.611
596,3690.321,4708.744
597,9850.008,1679.749
598,4772.708,3972.232
599,7098.869,4933.506
600,4592.616,19443.97
601,5857.511,5134.065
602,5349.015,5974.154
603,2048.302,10047.23
604,3040.769,2026.822
605,4127.366,6036.072
606,3850.672,5201.121
607,1885.309,2201.513
608,2858.306,6624.926
609,5273.691,3064.852
610,4291.429,3012.625
611,3275.582,3023.831
612,3465.654,7822.937
613,4706.899,4957.832
614,3151.927,26086.92
615,12585.58,12585.58
616,3313.561,3704.799
617,3242.43,5104.989
618,4956.154,4844.069
619,4449.581,12585.58
620,8735.76,8454.584
621,3575.528,3277.225
622,5330.17,6753.48
623,5474.179,8654.337
624,1407.937,4916.641
625,4112.302,6027.359
626,4907.144,6623.604
627,2908.852,4322.081
628,3674.316,8596.637
629,2321.865,9050.166
630,3165.945,5947.49
631,8224.613,12585.58
632,5598.396,11817.34
633,8246.75,12585.58
634,5754.46,3905.595
635,6544.131,8766.889
636,7558.155,4238.909
637,3076.152,4263.237
638,4280.216,7510.925
639,5038.44,2352.159
640,6528.279,8163.271
641,5452.54,7273.073
642,3099.52,6197.247
643,4645.525,4524.682
644,7360.184,12060.09
645,18391.31,3243.986
646,3995.713,3509.492
647,5170.306,3802.136
648,2010.512,2061.777
649,4723.358,4539.439
650,1868.012,3711.096
651,2666.206,5622.057
652,6279.126,5253.155
653,4687.074,7274.822
654,3881.974,6719.319
655,1854.892,8288.06
656,6611.557,3141.333
657,2448.527,5721.802
658,4622.541,8331.481
659,4638.812,4236.962
660,4589.118,9025.509
661,2973.342,3692.877
662,2603.364,2700.686
663,3759.995,14904.34
664,4196.338,3449.288
665,1695.217,8956.389
666,7309.8,9554.478
667,28563.1,6601.45
668,4582.1,8678.114
669,2741.93,6692.486
670,2793.855,1549.49
671,2697.084,3538.301
672,2241.8,4798.414
673,9761.704,5044.572
674,4372.291,5011.154
675,3403.331,8806.793
676,3846.526,8066.686
677,6250.179,3746.515
678,5115.148,4835.451
679,5351.715,5061.686
680,3228.391,2963.259
681,1900.318,4634.776
682,3158.788,3757.364
683,5745.204,3278.403
684,8672.395,4741.481
685,6416.857,2987.013
686,4348.675,3224.852
687,12841.91,3291.121
688,5208.974,11890.38
689,4642.634,7417.659
690,6823.243,2198.264
691,6587.656,1121.789
692,111297.1,10535.47
693,3562.458,13119.27
694,5325.727,3714.222
695,4557.747,2515.831
696,3346.955,4845.527
697,3809.874,16985.63
698,2859.172,2935.383
699,6740.194,4389.324
700,3003.071,3085.701
701,2350.666,4138.039
702,12585.58,6064.453
703,3269.4,4957.368
704,2307.392,3937.505
705,5278.589,6967.813
706,4334.44,5126.71
707,8107.323,5183.283
708,4275.741,5515.58
709,2536.614,2068.728
710,4417.349,4881.461
711,4436.253,7568.026
712,2131.914,8290.628
713,3047.973,4737.483
714,2876.74,18038.71
715,2046.097,9490.91
716,3219.995,3485.879
717,4386.032,7183.382
718,3553.303,6198.857
719,2778.395,7712.487
720,2936.437,3860.35
721,6883.06,4169.031
722,3968.358,3341.61
723,3532.086,4091.098
724,2449.924,12585.58
725,6374.96,4198.253
726,4068.233,2215.413
727,3641.232,5708.756
728,2483.333,7835.631
729,4208.161,4426.739
730,2632.151,8771.789
731,12585.58,2559.453
732,4474.516,4912.934
733,16467.95,5563.71
734,8392.2,5012.678
735,3114.412,7491.097
736,2249.934,2186.407
737,2781.401,4269.813
738,9923.024,3089.755
739,4751.763,3683.888
740,8565.365,2474.941
741,2975.222,3890.029
742,9694.41,2855.509
743,2968.399,18374.22
744,4080.218,3847.047
745,3020.797,2815.111
746,5693.752,5094.848
747,3046.809,6532.56
748,4666.105,8634.808
749,7601.71,5827.08
750,2280.973,1951.077
751,3428.378,3604.547
752,3962.21,5825.467
753,2691.778,2885.688
754,5037.075,2790.665
755,2864.329,4794.539
756,13744.21,4522.554
757,3824.653,6504.964
758,4131.95,6180.919
759,3212.542,1836.525
760,1945.336,3206.925
761,3015.127,22870.53
762,4664.703,5889.178
763,3678.169,1921.045
764,5822.7,8241.634
765,8288.399,15436.6
766,3680.402,2930.755
767,2969.082,4714.051
768,5904.223,4187.629
769,1893.37,10446.19
770,5163.129,4768.923
771,6960.265,4038.781
772,7394.244,6834.773
773,5072.635,2787.182
774,5160.275,8002.806
775,5618.284,3664.616
776,3839.632,6838.495
777,3122.982,4328.304
778,69216.05,5452.679
779,3992.24,8721.469
780,2869.783,3580.728
781,2735.335,13900.49
782,12585.58,13062.69
783,5406.494,6273.649
784,3930.07,5906.962
785,7354.184,7391.071
786,7377.132,17471.06
787,7054.168,5458.9
788,5273.194,3451.157
789,4103.048,8941.982
790,3131.125,4472.579
791,4922.029,2510.222
792,2834.046,5331.572
793,2038.035,8904.434
794,6824.114,2872.141
795,3251.032,2890.742
796,5446.038,7273.741
797,4940.078,2830.423
798,4058.895,9551.735
799,4746.123,4986.531
800,5253.584,8893.349
801,4155.974,5805.352
802,4991.837,7685.312
803,4788.931,21172.73
804,6957.133,7799.592
805,3616.412,2376.098
806,9795.523,3363.834
807,3130.169,2439.143
808,7178.356,2954.407
809,12585.58,4876.145
810,3719.738,12585.58
811,4148.228,5448.934
812,10027.92,3254.976
813,3616.278,2780.399
814,4033.799,1844.89
815,1793.22,3834.302
816,2963.654,12585.58
817,9628.75,12686.37
818,4001.991,3671.77
819,5537.777,3660.792
820,4811.759,2243.592
821,2049.375,4157.519
822,5022.315,3124.047
823,4145.803,3997.987
